LSOA Code,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Total_crime
E01000006,0.0749395648670427,0.11442385173247381,0.09669621273166801,0.019339242546333603,0.004834810636583401,0.031426269137792104,0.0531829170024174,0.088638195004029,0.23207091055600323,0.28444802578565676,1241
E01000007,0.07034694268736821,0.03296913935211807,0.12382595361318766,0.014184397163120567,0.013417672992141078,0.0697718995591336,0.06363810619129769,0.25033544182480355,0.055204140310523286,0.3063063063063063,5217
E01000008,0.08907563025210084,0.053361344537815124,0.08823529411764706,0.019327731092436976,0.008403361344537815,0.03907563025210084,0.03403361344537815,0.2411764705882353,0.17605042016806724,0.25126050420168067,2380
E01000009,0.0823777911888956,0.055220277610138806,0.14665057332528667,0.011164755582377792,0.008449004224502113,0.051297525648762825,0.07573928786964393,0.18708509354254677,0.09203379601689801,0.2899818949909475,3314
E01000011,0.10095389507154214,0.0834658187599364,0.07233704292527822,0.02066772655007949,0.006359300476947536,0.03179650238473768,0.050079491255961846,0.10492845786963434,0.1343402225755167,0.39507154213036566,1258
E01000012,0.10591259640102828,0.06375321336760925,0.0961439588688946,0.015938303341902313,0.014395886889460155,0.038046272493573265,0.05295629820051414,0.09768637532133675,0.1768637532133676,0.33830334190231365,1945
E01000013,0.0823293172690763,0.07028112449799197,0.09466437177280551,0.013195639701663799,0.009179575444635685,0.05479059093516925,0.05450372920252438,0.27251864601262193,0.08204245553643144,0.26649454962707975,3486
E01000014,0.13534822601839686,0.10709592641261498,0.05847568988173456,0.010512483574244415,0.007227332457293035,0.05387647831800263,0.03153745072273324,0.08475689881734559,0.1583442838370565,0.3528252299605782,1522
E01000015,0.134009009009009,0.10698198198198199,0.07038288288288289,0.014076576576576577,0.006756756756756757,0.04110360360360361,0.03153153153153153,0.08220720720720721,0.14020270270270271,0.37274774774774777,1776
E01000016,0.12185833968012186,0.10053313023610053,0.051028179741051026,0.009900990099009901,0.00456968773800457,0.03808073115003808,0.024371667936024372,0.1964965727341965,0.1667936024371668,0.2863670982482864,1313
E01000017,0.09959839357429719,0.12048192771084337,0.05140562248995984,0.015261044176706828,0.00321285140562249,0.05622489959839357,0.03855421686746988,0.10923694779116466,0.1646586345381526,0.3413654618473896,1245
E01000018,0.14181286549707603,0.12719298245614036,0.03654970760233918,0.019736842105263157,0.0043859649122807015,0.04678362573099415,0.019736842105263157,0.07675438596491228,0.15570175438596492,0.3713450292397661,1368
E01000019,0.10414902624894158,0.1642675698560542,0.026248941574936496,0.013547840812870448,0.004233700254022015,0.03895004233700254,0.03048264182895851,0.11854360711261643,0.17866215071972905,0.32091447925486877,1181
E01000020,0.07262569832402235,0.1266294227188082,0.03414028553693358,0.015518311607697082,0.006207324643078833,0.03165735567970205,0.03662321539416512,0.2718808193668529,0.12725015518311608,0.2774674115456238,1611
E01000021,0.10647405029427501,0.11289459604066346,0.08507223113964688,0.01337613697164259,0.006955591225254147,0.051364365971107544,0.03584804708400214,0.1198501872659176,0.15302300695559123,0.31514178705189944,1869
E01000022,0.12319644839067703,0.15760266370699222,0.03440621531631521,0.016648168701442843,0.0022197558268590455,0.038845726970033294,0.016648168701442843,0.08990011098779134,0.12985571587125416,0.390677025527192,901
E01000024,0.1119648737650933,0.13611416026344675,0.04610318331503842,0.029637760702524697,0.009879253567508232,0.05598243688254665,0.036223929747530186,0.09220636663007684,0.15806805708013172,0.3238199780461032,911
E01000025,0.1035625517812759,0.11930405965202982,0.04225352112676056,0.014913007456503728,0.004971002485501243,0.05136702568351284,0.027340513670256836,0.07207953603976802,0.1996685998342999,0.36454018227009116,1207
E01000027,0.14223512336719885,0.10304789550072568,0.04160619254958878,0.019351717464925013,0.006773101112723754,0.05370101596516691,0.02564102564102564,0.11562651185292695,0.15336236090953073,0.3386550556361877,2067
E01000028,0.11865618298784847,0.10078627591136526,0.04789135096497498,0.008577555396711936,0.006433166547533953,0.062187276626161546,0.030736240171551108,0.09006433166547534,0.1601143674052895,0.3745532523230879,1399
E01000029,0.09778142974527526,0.22514379622021363,0.04519309778142974,0.011503697617091208,0.004108463434675432,0.041084634346754315,0.03204601479046836,0.07559572719802794,0.22267871815940837,0.2448644207066557,1217
E01000030,0.11656228253305498,0.08698677800974251,0.03931802366040362,0.012526096033402923,0.009394572025052192,0.061934585942936674,0.033402922755741124,0.14718162839248433,0.1941544885177453,0.2985386221294363,2874
E01000031,0.09154113557358054,0.13093858632676708,0.044611819235225954,0.016801853997682505,0.015063731170336037,0.0440324449594438,0.031286210892236384,0.1332560834298957,0.19582850521436848,0.2966396292004635,1726
E01000032,0.07611438183347351,0.12279226240538267,0.05424726661059714,0.007569386038687973,0.007148864592094197,0.06013456686291001,0.07611438183347351,0.2624053826745164,0.10723296888141295,0.22624053826745164,2378
E01000033,0.1301482701812191,0.1013179571663921,0.06919275123558484,0.01729818780889621,0.009884678747940691,0.048599670510708404,0.023064250411861616,0.10214168039538715,0.13509060955518945,0.36326194398682043,1214
E01000034,0.11512027491408934,0.09879725085910653,0.07989690721649484,0.018900343642611683,0.006872852233676976,0.05240549828178694,0.03608247422680412,0.1211340206185567,0.1211340206185567,0.34965635738831613,1164
E01000035,0.0998095238095238,0.09028571428571429,0.07580952380952381,0.01561904761904762,0.013333333333333334,0.05676190476190476,0.037714285714285714,0.20457142857142857,0.11352380952380953,0.2925714285714286,2625
E01000036,0.1075036075036075,0.08513708513708514,0.06349206349206349,0.01875901875901876,0.010101010101010102,0.07503607503607504,0.03968253968253968,0.1443001443001443,0.1406926406926407,0.3152958152958153,1386
E01000037,0.07037896365042537,0.11446249033255994,0.07811291569992267,0.015467904098994586,0.017788089713843776,0.05955143078112916,0.030162412993039442,0.14694508894044858,0.12838360402165508,0.33874709976798145,1293
E01000038,0.10056497175141244,0.16610169491525423,0.0655367231638418,0.01694915254237288,0.005649717514124294,0.04745762711864407,0.0384180790960452,0.16045197740112993,0.17740112994350282,0.2214689265536723,885
E01000039,0.10718358038768529,0.11402508551881414,0.11972633979475485,0.0068415051311288486,0.005701254275940707,0.053591790193842644,0.019384264538198404,0.08893956670467502,0.17445838084378562,0.31014823261117447,877
E01000040,0.09753231492361927,0.11633372502937721,0.06580493537015276,0.01880141010575793,0.0099882491186839,0.05111633372502938,0.02937720329024677,0.1445358401880141,0.15687426556991774,0.3096357226792009,1702
E01000041,0.12681510164569215,0.12391093901258471,0.028073572120038724,0.01452081316553727,0.00484027105517909,0.04549854791868345,0.022265246853823813,0.06485963213939981,0.1984511132623427,0.3707647628267183,1033
E01000042,0.10772464529689964,0.12243825538623226,0.04834471886495008,0.012611665790856543,0.0021019442984760903,0.04676826064109301,0.02995270625328429,0.09038360483447189,0.18549658434051497,0.35417761429322125,1903
E01000043,0.10797101449275362,0.13043478260869565,0.05,0.015217391304347827,0.013768115942028985,0.035507246376811595,0.03188405797101449,0.1398550724637681,0.22826086956521738,0.24710144927536232,1380
E01000044,0.07922168172341904,0.13134120917303682,0.06879777623349548,0.01389854065323141,0.005559416261292564,0.04447533009034051,0.04586518415566365,0.12786657400972898,0.15149409312022238,0.3314801945795691,1439
E01000045,0.07713125845737483,0.06874154262516914,0.0435723951285521,0.011096075778078484,0.0070365358592692825,0.04682002706359946,0.029769959404600813,0.37889039242219213,0.11312584573748309,0.22381596752368066,3695
E01000046,0.12961443806398687,0.11484823625922888,0.044298605414273995,0.012305168170631665,0.004101722723543888,0.04183757178014766,0.03855619360131255,0.09598031173092698,0.21739130434782608,0.3010664479081214,1219
E01000049,0.06969026548672566,0.06231563421828908,0.06637168141592921,0.009218289085545723,0.008849557522123894,0.026179941002949854,0.02654867256637168,0.4269911504424779,0.11356932153392331,0.1902654867256637,2712
E01000050,0.09170560747663552,0.08060747663551401,0.10338785046728972,0.014018691588785047,0.011682242990654205,0.04614485981308411,0.0566588785046729,0.14544392523364486,0.12792056074766356,0.32242990654205606,1712
E01000051,0.11376673040152964,0.10038240917782026,0.07361376673040153,0.015296367112810707,0.0028680688336520078,0.043021032504780114,0.05162523900573614,0.17495219885277247,0.10325047801147227,0.32122370936902483,1046
E01000052,0.1068931068931069,0.1258741258741259,0.07192807192807193,0.01848151848151848,0.005494505494505495,0.03596403596403597,0.04495504495504495,0.12187812187812187,0.2037962037962038,0.2647352647352647,2002
E01000053,0.10025839793281653,0.09715762273901808,0.05116279069767442,0.018604651162790697,0.010852713178294573,0.05271317829457364,0.05581395348837209,0.15555555555555556,0.13695090439276486,0.3209302325581395,1935
E01000054,0.12656364974245768,0.13171449595290655,0.03679175864606328,0.01692420897718911,0.009565857247976454,0.03899926416482708,0.03016924208977189,0.07652685798381163,0.188373804267844,0.3443708609271523,1359
E01000055,0.13965267727930536,0.10998552821997105,0.0361794500723589,0.01447178002894356,0.013748191027496382,0.04630969609261939,0.03907380607814761,0.08683068017366136,0.16642547033285093,0.3473227206946454,1382
E01000056,0.10749047820567076,0.06601777401608125,0.0626322471434617,0.014811680067710538,0.008463817181548879,0.052052475666525606,0.05459162082099027,0.1434617012272535,0.19466779517562421,0.2958104104951333,2363
E01000057,0.11799065420560748,0.09170560747663552,0.0344626168224299,0.009929906542056074,0.009929906542056074,0.055490654205607476,0.06483644859813084,0.1758177570093458,0.13259345794392524,0.3072429906542056,1712
E01000058,0.11901504787961696,0.12311901504787962,0.027359781121751026,0.023255813953488372,0.01094391244870041,0.041723666210670314,0.024623803009575923,0.09781121751025992,0.1689466484268126,0.36320109439124487,1462
E01000059,0.10882110469909316,0.15169002473206925,0.020610057708161583,0.014014839241549877,0.0032976092333058533,0.04451772464962902,0.0403957131079967,0.08491343775762572,0.20032976092333057,0.3314097279472383,1213
E01000060,0.07658280342825546,0.07437102571191595,0.04534144318495991,0.010505944152612662,0.007741222007188278,0.05225324854852088,0.05114735969035112,0.34089024053082667,0.09731821951893835,0.24384849322643073,3617
E01000061,0.11012564671101256,0.05949741315594974,0.07317073170731707,0.01736881005173688,0.006282335550628234,0.06245380635624538,0.04360679970436068,0.1541019955654102,0.10347376201034737,0.3699186991869919,2706
E01000062,0.11966325917017438,0.13349368610944076,0.06313890559230306,0.017438364401683705,0.007817197835237523,0.04690318701142514,0.04269392663860493,0.0926037282020445,0.1635598316295851,0.3126879134095009,1663
E01000063,0.11939102564102565,0.11698717948717949,0.03365384615384615,0.019230769230769232,0.003205128205128205,0.06009615384615385,0.030448717948717948,0.08814102564102565,0.19150641025641027,0.3373397435897436,1248
E01000064,0.09578544061302682,0.11685823754789272,0.0421455938697318,0.01053639846743295,0.008141762452107279,0.05172413793103448,0.031609195402298854,0.2006704980842912,0.10201149425287356,0.34051724137931033,2088
E01000065,0.10170603674540682,0.14173228346456693,0.047244094488188976,0.019028871391076115,0.0032808398950131233,0.04461942257217848,0.04068241469816273,0.12532808398950132,0.1732283464566929,0.3031496062992126,1524
E01000066,0.07186440677966102,0.17491525423728813,0.07389830508474576,0.014915254237288136,0.007457627118644068,0.029152542372881354,0.03389830508474576,0.1152542372881356,0.2040677966101695,0.2745762711864407,1475
E01000067,0.07654623392529088,0.129210042865891,0.04225352112676056,0.011635027556644213,0.007960808328230252,0.047764849969381504,0.03674219228413962,0.19105939987752601,0.2082057562767912,0.24862216778934476,1633
E01000068,0.09828178694158075,0.12233676975945017,0.0865979381443299,0.013745704467353952,0.010309278350515464,0.032989690721649485,0.04398625429553265,0.12920962199312716,0.19518900343642612,0.26735395189003436,1455
E01000069,0.07917888563049853,0.14565004887585534,0.053763440860215055,0.013685239491691105,0.0039100684261974585,0.03519061583577713,0.047898338220918865,0.0801564027370479,0.260019550342131,0.2805474095796676,1023
E01000070,0.06694271911663216,0.08799171842650104,0.15320910973084886,0.011387163561076604,0.007936507936507936,0.04520358868184955,0.07832988267770877,0.22739820565907523,0.12870945479641133,0.19289164941338854,2898
E01000071,0.0711825487944891,0.12629161882893225,0.05109070034443169,0.010907003444316877,0.003444316877152698,0.04535017221584386,0.05625717566016074,0.14408725602755454,0.19345579793340986,0.29793340987370837,1742
