LSOA Code,Borough,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON
E01000006,E09000002,372.0,568.0,480.0,96.0,24.0,156.0,264.0,440.0,1152.0,1412.0
E01000007,E09000002,1468.0,688.0,2584.0,296.0,280.0,1456.0,1328.0,5224.0,1152.0,6392.0
E01000008,E09000002,848.0,508.0,840.0,184.0,80.0,372.0,324.0,2296.0,1676.0,2392.0
E01000009,E09000002,1092.0,732.0,1944.0,148.0,112.0,680.0,1004.0,2480.0,1220.0,3844.0
E01000011,E09000002,508.0,420.0,364.0,104.0,32.0,160.0,252.0,528.0,676.0,1988.0
E01000012,E09000002,824.0,496.0,748.0,124.0,112.0,296.0,412.0,760.0,1376.0,2632.0
E01000013,E09000002,1148.0,980.0,1320.0,184.0,128.0,764.0,760.0,3800.0,1144.0,3716.0
E01000014,E09000002,824.0,652.0,356.0,64.0,44.0,328.0,192.0,516.0,964.0,2148.0
E01000015,E09000002,952.0,760.0,500.0,100.0,48.0,292.0,224.0,584.0,996.0,2648.0
E01000016,E09000002,640.0,528.0,268.0,52.0,24.0,200.0,128.0,1032.0,876.0,1504.0
E01000017,E09000002,496.0,600.0,256.0,76.0,16.0,280.0,192.0,544.0,820.0,1700.0
E01000018,E09000002,776.0,696.0,200.0,108.0,24.0,256.0,108.0,420.0,852.0,2032.0
E01000019,E09000002,492.0,776.0,124.0,64.0,20.0,184.0,144.0,560.0,844.0,1516.0
E01000020,E09000002,468.0,816.0,220.0,100.0,40.0,204.0,236.0,1752.0,820.0,1788.0
E01000021,E09000002,796.0,844.0,636.0,100.0,52.0,384.0,268.0,896.0,1144.0,2356.0
E01000022,E09000002,444.0,568.0,124.0,60.0,8.0,140.0,60.0,324.0,468.0,1408.0
E01000024,E09000002,408.0,496.0,168.0,108.0,36.0,204.0,132.0,336.0,576.0,1180.0
E01000025,E09000002,500.0,576.0,204.0,72.0,24.0,248.0,132.0,348.0,964.0,1760.0
E01000027,E09000002,1176.0,852.0,344.0,160.0,56.0,444.0,212.0,956.0,1268.0,2800.0
E01000028,E09000002,664.0,564.0,268.0,48.0,36.0,348.0,172.0,504.0,896.0,2096.0
E01000029,E09000002,476.0,1096.0,220.0,56.0,20.0,200.0,156.0,368.0,1084.0,1192.0
E01000030,E09000002,1340.0,1000.0,452.0,144.0,108.0,712.0,384.0,1692.0,2232.0,3432.0
E01000031,E09000002,632.0,904.0,308.0,116.0,104.0,304.0,216.0,920.0,1352.0,2048.0
E01000032,E09000002,724.0,1168.0,516.0,72.0,68.0,572.0,724.0,2496.0,1020.0,2152.0
E01000033,E09000002,632.0,492.0,336.0,84.0,48.0,236.0,112.0,496.0,656.0,1764.0
E01000034,E09000002,536.0,460.0,372.0,88.0,32.0,244.0,168.0,564.0,564.0,1628.0
E01000035,E09000002,1048.0,948.0,796.0,164.0,140.0,596.0,396.0,2148.0,1192.0,3072.0
E01000036,E09000002,596.0,472.0,352.0,104.0,56.0,416.0,220.0,800.0,780.0,1748.0
E01000037,E09000002,364.0,592.0,404.0,80.0,92.0,308.0,156.0,760.0,664.0,1752.0
E01000038,E09000002,356.0,588.0,232.0,60.0,20.0,168.0,136.0,568.0,628.0,784.0
E01000039,E09000002,376.0,400.0,420.0,24.0,20.0,188.0,68.0,312.0,612.0,1088.0
E01000040,E09000002,664.0,792.0,448.0,128.0,68.0,348.0,200.0,984.0,1068.0,2108.0
E01000041,E09000002,524.0,512.0,116.0,60.0,20.0,188.0,92.0,268.0,820.0,1532.0
E01000042,E09000002,820.0,932.0,368.0,96.0,16.0,356.0,228.0,688.0,1412.0,2696.0
E01000043,E09000002,596.0,720.0,276.0,84.0,76.0,196.0,176.0,772.0,1260.0,1364.0
E01000044,E09000002,456.0,756.0,396.0,80.0,32.0,256.0,264.0,736.0,872.0,1908.0
E01000045,E09000002,1140.0,1016.0,644.0,164.0,104.0,692.0,440.0,5600.0,1672.0,3308.0
E01000046,E09000002,632.0,560.0,216.0,60.0,20.0,204.0,188.0,468.0,1060.0,1468.0
